3 Phillips 66 30
5 Sysco 57
8 ConocoPhillips 90
10 Enterprise Products Partners 104
12 Halliburton 117
13 Plains All American Pipeline 121
18 Baker Hughes 178
20 National Oilwell Varco 192
21 Kinder Morgan 198
24 Waste Management 221
25 Occidental Petroleum 225
29 Group 1 Automotive 267
34 Cameron International 319
35 EOG Resources 322
38 Quanta Services 352
39 CenterPoint Energy 363
40 Targa Resources 387
41 Apache 388
42 Calpine 402
45 FMC Technologies 410
49 Marathon Oil 438
52 Spectra Energy 493
